run,backend,n_produced,n_consumed,n_matched,tti_p50_ms,tti_p95_ms,tti_p99_ms,tti_max_ms,transport_p50_ms,transport_p95_ms,transport_p99_ms,transport_max_ms,schedlag_p50_ms,schedlag_p95_ms,schedlag_p99_ms,schedlag_max_ms,tti_miss_100ms,schedlag_miss_100ms,tti_miss_250ms,schedlag_miss_250ms,tti_miss_500ms,schedlag_miss_500ms,tti_miss_1000ms,schedlag_miss_1000ms,tti_miss_2000ms,schedlag_miss_2000ms,tti_miss_5000ms,schedlag_miss_5000ms
s2sf12_kafka_rep1_20251231_003409,kafka,40660,40660,40660,266.587966,575.7586848999999,622.5274736399998,677.180237,0.9663545,1.2178184499999998,1.4400834399999967,96.822331,265.5719235,574.7644868999998,621.4291747999996,675.983102,0.8277914412198721,0.8269798327594687,0.5290949335956714,0.5274225282833251,0.1176340383669454,0.11667486473192326,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep2_20251231_004012,kafka,40660,40660,40660,107.0246425,262.87667634999997,292.27075944999996,315.33223,0.9364015,1.1291437999999996,1.2576372499999995,92.547933,106.11240000000001,261.9766625499999,291.34905545999993,314.268487,0.5226512543039843,0.5199458927693065,0.06286276438760452,0.06143630103295622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep3_20251231_004613,kafka,40660,40660,40660,216.9411125,381.0131388,424.18330330999976,478.234296,0.9571194999999999,1.19191205,1.4081032299999996,90.748336,215.970479,380.11991234999994,423.14901111999995,477.390425,0.6816527299557305,0.6801770782095425,0.4133792424987703,0.4100590260698475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep4_20251231_005215,kafka,40660,40660,40660,217.943127,594.0312275499998,635.4790309399999,656.735851,0.9614404999999999,1.1909016499999996,1.424999409999991,87.817389,217.005421,593.1007552999998,634.53738951,655.713571,0.7649532710280373,0.762444663059518,0.3937284800787014,0.3912936546974914,0.15988686669945892,0.15843580914904082,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_kafka_rep5_20251231_005817,kafka,40660,40660,40660,230.106662,397.29848354999984,434.14634735999977,484.812421,0.9655720000000001,1.1839834,1.3797445599999996,87.446739,229.08824800000002,396.3353570999994,433.05426589999985,483.924258,0.7449335956714216,0.7431628135759961,0.4419822921790457,0.438539104771274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_redis_rep1_20251231_003714,redis,40660,40660,40660,2.5090985000000003,5.416012349999999,7.055496439999998,40.293098,0.842402,1.3697316499999999,1.6305076799999998,4.996147,1.634007,4.190292749999999,5.674989009999976,38.822814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_redis_rep2_20251231_004315,redis,40660,40660,40660,2.4866349999999997,5.4214167999999985,6.9795145099999685,40.739791,0.851934,1.3885447,1.6673484499999995,4.7082,1.6085755,4.181784799999999,5.656251039999989,39.219871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_redis_rep3_20251231_004917,redis,40660,40660,40660,2.4425725,5.377041699999996,6.987197849999998,42.104736,0.8544875000000001,1.3794342499999999,1.6539729199999988,5.408561,1.5738415,4.13356315,5.632923139999978,40.372199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_redis_rep4_20251231_005519,redis,40660,40660,40660,2.4233729999999998,5.368553399999999,6.9499245300000005,41.510123,0.873443,1.40109545,1.6545886499999993,5.398124,1.545698,4.122119599999999,5.601513659999998,39.764422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2sf12_redis_rep5_20251231_010118,redis,40660,40660,40660,2.512818,5.4884625,7.129838329999997,41.971643,0.8528279999999999,1.4037596499999998,1.7126422199999958,10.577212,1.6286619999999998,4.218584249999997,5.722892729999999,39.893585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
